DEPTH,RHOB,DT,GR,FACIES
488.25,1368.6747,650.3576,29.9301,2
488.4,1367.2906,647.9235,30.4249,2
488.55,1371.9888,646.3439,30.5806,2
488.7,1363.6436,645.0198,30.5733,2
488.85,1358.1198,642.8506,29.9558,2
489.0,1361.723,640.4521,29.3143,2
489.15,1363.1532,637.7502,27.9997,2
489.3,1361.8438,635.7714,27.4919,2
489.45,1366.5005,633.9479,27.4919,2
489.6,1384.1703,632.3694,27.8385,2
489.75,1403.802,631.0423,28.7089,2
489.9,1401.5667,629.7376,29.5294,2
490.05,1385.8566,626.4619,30.3483,2
490.2,1382.738,624.6281,31.1092,2
490.35,1409.8918,625.5388,31.9244,2
490.5,1428.5892,627.597,32.3355,2
490.65,1419.111,628.2007,32.3355,2
490.8,1403.9287,626.6483,31.5803,2
490.95,1391.0127,623.3897,30.3147,2
491.1,1372.7278,619.5447,29.4903,2
491.25,1358.774,619.5605,28.4785,2
491.4,1357.0732,623.9033,26.844,2
491.55,1361.7729,627.7928,25.681,2
491.7,1367.6732,628.5483,25.3702,2
491.85,1363.2769,624.7899,25.2372,2
492.0,1357.7394,622.1016,25.3285,2
492.15,1357.9495,627.0954,25.6986,2
492.3,1357.8398,633.344,26.8926,2
492.45,1360.147,638.4067,28.3304,2
492.6,1364.5564,641.3868,28.3304,2
492.75,1362.1687,643.1409,27.9295,2
492.9,1363.4799,645.3836,27.0514,2
493.05,1366.968,650.3696,27.0514,2
493.2,1367.8268,655.1514,27.3968,2
493.35,1368.5065,658.5597,28.3746,2
493.5,1365.6689,660.237,28.461,2
493.65,1360.1476,659.1748,28.4365,2
493.8,1356.6207,657.4771,28.3463,2
493.95,1361.4238,655.3776,28.3677,2
494.1,1370.1832,655.2188,28.3624,2
494.25,1371.1171,658.3311,27.8692,2
494.4,1365.3263,657.5588,27.5838,2
494.55,1363.5842,654.3891,25.6798,2
494.7,1369.3904,652.0944,25.2881,2
494.85,1375.9827,650.581,25.0925,2
495.0,1376.505,650.4318,24.7179,2
495.15,1386.9089,648.4702,24.3638,2
495.3,1414.5018,644.5244,24.2383,2
495.45,1435.6362,636.753,23.8219,2
495.6,1418.6395,627.1276,23.689,2
495.75,1409.7001,620.9147,23.2777,2
495.9,1370.6558,614.252,23.2777,2
496.05,1366.311,606.884,23.2777,2
496.2,1365.7198,602.1524,23.1287,2
